Descrizione Breve,Anno di Scoperta,Descrizione Lunga,Nome Inventore,Paese
Fondazione della Bauhaus,1919,Scuola di design che ha influenzato l'architettura moderna,Walter Gropius,Germania
Fondazione della Corte Internazionale di Giustizia all'Aia,1920,Fondazione della Corte Internazionale di Giustizia all'Aia nei Paesi Bassi,-,-
Movimento artistico Harlem Renaissance,1920,Rivoluzione culturale e artistica afroamericana,Artisti vari,Stati Uniti
Cerotto,1920,Fasciatura adesiva per piccole ferite,Earle Dickson,Stati Uniti
Fantascienza,1920,Genere letterario basato su impatti ipotetici di scienza e tecnologia sul futuro,Varie figure letterarie,Internazionale
Ripristino monarchia in Grecia dopo referendum,1920,La Grecia ripristina la monarchia dopo un referendum,-,-
Hitler Führer del Partito Nazista,1921,"Adolf Hitler divenne il Führer (guida, leader) del Partito Nazista",-,-
Insulina,1921,"Ormone utilizzato per trattare il diabete, essenziale per la regolazione della glicemia","Frederick Banting, Charles Best",Canada
Sviluppo dei robot,1921,Sviluppo dei robot,Karel Capek,Repubblica Ceca
Scoperta della tomba di Tutankhamon,1922,Scoperta della tomba di Tutankhamon,Howard Carter,Egitto
La Grande Assemblea Nazionale Turca aboli' il Sultanato Ottomano,1922,La Grande Assemblea Nazionale Turca aboli' il Sultanato Ottomano,-,-
Time Magazine fu pubblicato per la prima volta,1923,Time Magazine fu pubblicato per la prima volta,-,-
Abolizione del Califfato da parte di Kemal Atatürk,1924,Abolizione del Califfato da parte di Kemal Atatürk,-,-
Il Federal Bureau of Investigation degli USA fu istituito sotto J Edgar Hoover,1924,Il Federal Bureau of Investigation degli USA fu istituito sotto J Edgar Hoover,-,-
La montagna incantata di Thomas Mann,1924,Romanzo filosofico che riflette sulle crisi del tempo,Thomas Mann,Germania
Morte di Vladimir Lenin e ascesa di Stalin,1924,Morte di Vladimir Lenin (Russia); ascesa di Stalin,-,-
Pubblicazione de Il grande Gatsby,1925,Romanzo simbolo del sogno americano e della sua corruzione,F Scott Fitzgerald,Stati Uniti
Pubblicazione di Mein Kampf ,1925,Pubblicazione di Mein Kampf (autobiografia del leader nazionalsocialista Adolf Hitler),-,-
Il Regno Unito di Gran Bretagna e Irlanda ,1927,Il Regno Unito di Gran Bretagna e Irlanda divenne ufficialmente il Regno Unito di Gran Bretagna e Irlanda del Nord,-,-
Teoria del Big Bang,1927,Teoria del Big Bang,Georges Lemaitre,Belgio
Televisione,1927,Televisione,Philo Farnsworth,Stati Uniti
Joseph Stalin diventa leader dell'Unione Sovietica,1927,Joseph Stalin diventa leader dell'Unione Sovietica,-,-
La BBC ricevette una Carta Reale nel Regno Unito,1927,La BBC ricevette una Carta Reale nel Regno Unito,-,-
Creazione di Topolino,1928,Creazione di Topolino (Mickey Mouse) ai Walt Disney Studios,-,-
Penicillina,1928,La penicillina come antibiotico,Alexander Fleming,Regno Unito
Sviluppo della penicillina,1928,"Primo antibiotico scoperto, ha rivoluzionato la medicina salvando milioni di vite",Alexander Fleming,Regno Unito
Crollo di Wall Street del 1929 e inizio della Grande Depressione,1929,Crollo di Wall Street del 1929 e inizio della Grande Depressione,-,-
La Citta' del Vaticano ottenne lo status di Stato sovrano,1929,La Citta' del Vaticano ottenne lo status di Stato sovrano,-,-
Massacro del giorno di San Valentino,1929,Massacro del giorno di San Valentino,-,-
Sviluppo del motore a reazione,1930,Motore che espelle getti ad alta velocita' per generare spinta,"Frank Whittle, Hans von Ohain","Regno Unito, Germania"
Prima Coppa del Mondo FIFA,1930,Prima Coppa del Mondo FIFA,-,-
Costruzione dell'Empire State Building,1931,Costruzione dell'Empire State Building,-,-
Il Giappone invade la Manciuria (Cina),1931,Il Giappone invade la Manciuria (Cina) e la occupa fino alla fine della Seconda Guerra Mondiale,-,-
Chitarra elettrica,1931,Strumento musicale che utilizza pickup per convertire la vibrazione delle corde in segnali elettrici,George Beauchamp,Stati Uniti
Sviluppo della radioastronomia,1931,Studio degli oggetti celesti tramite le loro emissioni radio,Karl Jansky,Stati Uniti
Teorema di Godel,1931,Teorema di Godel,Kurt Godel,Austria
Creazione del Commonwealth delle Nazioni Britanniche,1931,Statuto di Westminster creo' il Commonwealth delle Nazioni Britanniche,-,-
Elezione di Franklin D Roosevelt a Presidente degli Stati Uniti,1932,Elezione di Franklin D Roosevelt a Presidente degli Stati Uniti,-,-
Il partito nazista divenne il più grande partito singolo nel parlamento tedesco,1932,Il partito nazista divenne il più grande partito singolo nel parlamento tedesco,-,-
Hitler Cancelliere della Germania,1933,Adolf Hitler divenne Cancelliere della Germania,-,-
Sviluppo del radar,1935,Tecnologia per rilevare la posizione e il movimento di oggetti tramite onde radio,Robert Watson-Watt,Regno Unito
La Persia divenne l'Iran,1935,La Persia divenne l'Iran,-,-
Il Giappone invade la Cina,1937,Il Giappone invade la Cina,-,-
Realizzazione del Guernica di Picasso,1937,"Opera di Pablo Picasso, simbolo della guerra civile spagnola",Pablo Picasso,Spagna
L'IRA tento' di assassinare il re Giorgio VI del Regno Unito,1937,L'IRA tento' di assassinare il re Giorgio VI del Regno Unito,-,-
Accordo di Monaco,1938,Accordo di Monaco che cedette la Cecoslovacchia alla Germania nazista,-,-
Invasione nazista della Polonia ,1939,Invasione nazista della Polonia che innesco' l'inizio della Seconda Guerra Mondiale,-,-
Velivolo a propulsione jet,1939,Velivolo a propulsione jet,Heinkel He 178,Germania
"Invasione nazista di Francia, Paesi Bassi, Danimarca e Norvegia",1940,"Invasione nazista di Francia, Paesi Bassi, Danimarca e Norvegia",-,-
Sviluppo del magnetron,1940,"Tubo che produce microonde, utilizzato in radar e forni a microonde","John Randall, Harry Boot",Regno Unito
L'Unione Sovietica annesse gli stati baltici,1940,L'Unione Sovietica annesse gli stati baltici,-,-
Winston Churchill divenne Primo Ministro del Regno Unito,1940,Winston Churchill divenne Primo Ministro del Regno Unito,-,-
Attacco a Pearl Harbor,1941,Attacco a Pearl Harbor che costrinse gli USA ad entrare nella Seconda Guerra Mondiale,-,-
Hitler invade l'Unione Sovietica,1941,Hitler invade l'Unione Sovietica,-,-
Battaglia di Stalingrado,1943,Battaglia di Stalingrado termino' con oltre due milioni di vittime e la ritirata dell'esercito tedesco,-,-
Conferenza di Teheran ,1943,"Conferenza di Teheran con la partecipazione di Franklin Roosevelt, Winston Churchill e Joseph Stalin; tutti concordarono di avviare l'Operazione Overlord",-,-
Inizio della Rivoluzione Verde,1943,Inizio della Rivoluzione Verde,-,-
D-Day ,1944,D-Day (termini militari associati all'invasione della Normandia),-,-
Insurrezione cecena ,1944,Insurrezione cecena terminata con la deportazione dell'intera popolazione cecena,-,-
Introduzione del primo computer elettronico,1944,"Introduzione del primo computer elettronico operativo, Colossus",-,-
Teoria dei giochi,1944,Teoria dei giochi,"John von Neumann, Oskar Morgenstern","Ungheria, Austria"
Conferenza di Bretton Woods,1944,Sistema finanziario post-seconda guerra mondiale,Leader mondiali,Internazionale
Battaglia di Berlino,1945,Battaglia di Berlino,-,-
Conferenza di Potsdam divise l'Europa in blocchi ,1945,La Conferenza di Potsdam (Seconda Guerra Mondiale) divise l'Europa in blocchi occidentali e sovietici,-,-
Conferenza di Yalta,1945,Conferenza di Yalta,-,-
Fine della Seconda Guerra Mondiale ,1945,Fine della Seconda Guerra Mondiale in Europa; conclusione dell'Olocausto con circa 12 milioni di morti,-,-
Fondazione delle Nazioni Unite,1945,Fondazione delle Nazioni Unite,-,-
Bombardamenti atomici di Hiroshima e Nagasaki,1945,Bombe atomiche segnano la fine della Seconda Guerra Mondiale,Harry S Truman,Giappone
"Morti di Roosevelt, Hitler Mussolini",1945,"Morti di Franklin Delano Roosevelt, Adolf Hitler e Benito Mussolini",-,-
Computer,1946,Macchine elettroniche programmabili per elaborare dati e eseguire calcoli complessi,"John Presper Eckert, John W Mauchly",Stati Uniti
Prima immagine della Terra dallo spazio,1946,Prima immagine della Terra presa dallo spazio,-,-
Transistor,1947,Transistor,"John Bardeen, Walter Brattain, William Shockley",Stati Uniti
Indipendenza dell'India,1947,Fine del dominio britannico sull'India,Mahatma Gandhi,India
Divisione della Corea del Nord e della Corea del Sud,1948,Divisione della Corea del Nord e della Corea del Sud,-,-
Inizio dell'apartheid in Sudafrica,1948,Inizio dell'apartheid in Sudafrica,-,-
Teoria dell'Informazione,1948,Teoria dell'Informazione,Claude Shannon,Stati Uniti
Velcro,1948,Velcro,George de Mestral,Svizzera
Creazione della NATO,1949,Creazione della NATO (Organizzazione del Trattato dell'Atlantico del Nord),-,-
Fondazione della Repubblica Popolare Cinese,1949,Fondazione della Repubblica Popolare Cinese sotto la guida di Mao Zedong,-,-
Sviluppo dell'orologio atomico,1949,Orologio che misura il tempo con grande precisione tramite frequenze atomiche,National Bureau of Standards (NBS),Stati Uniti
Partizione della Germania ,1949,Partizione della Germania come Repubblica Democratica Socialista Sovietica e Repubblica Federale di Germania supportata dalla NATO,-,-
Trattato di San Francisco ,1951,Il Trattato di San Francisco termino' l'occupazione del Giappone e concluse formalmente le ostilita' tra Giappone e USA,-,-
Rivoluzione egiziana e fine dell'occupazione britannica,1952,Rivoluzione egiziana sotto Gamal Abdel Nasser rovescio' il Re Farouk e termino' l'occupazione britannica,-,-
Scatola nera (registrazione dati volo),1953,Scatola nera (registrazione dati volo),David Warren,Australia
DNA a doppia elica,1953,"Scoperta della struttura a doppia elica del DNA, fondamentale per la genetica","James Watson, Francis Crick",Regno Unito
Morte di Stalin,1953,Morte di Stalin,-,-
Prima volta che l'Unione Sovietica ha generato elettricita' con energia nucleare,1954,Prima volta che l'Unione Sovietica ha generato elettricita' con energia nucleare,-,-
Firmato il Patto di Varsavia,1955,Firmato il Patto di Varsavia,-,-
Sistema Operativo,1956,Sistema Operativo,GM-NAA I-O,Stati Uniti
Fibra ottica,1956,Tecnologia per trasmettere dati sotto forma di impulsi di luce,Narinder Singh Kapany,Stati Uniti
Inizio dell'era spaziale con il lancio dello Sputnik I,1957,Inizio dell'era spaziale con il lancio dello Sputnik I,-,-
Circuito integrato,1958,Microcircuiti elettronici su un piccolo pezzo di materiale semiconduttore,"Jack Kilby, Robert Noyce",Stati Uniti
Invenzione del pacemaker,1958,Dispositivo che regola il battito cardiaco,Wilson Greatbatch,Stati Uniti
"Istituzione NASA, Federal Aviation Authority USA, Campaign for Nuclear Disarmament (CND)",1958,"Istituzione della NASA, della Federal Aviation Authority degli USA e della Campaign for Nuclear Disarmament (CND)",-,-
Rivoluzione cubana,1959,Rivoluzione cubana,-,-
Creazione dell'arte concettuale,1960,Movimento artistico che privilegia l'idea sull'oggetto,Artisti vari,Internazionale
Inizio dell'arte digitale,1960,Nuove forme espressive tramite la tecnologia,Artisti vari,Internazionale
Teoria delle Stringhe,1960,Teoria delle Stringhe,Gabriele Veneziano,Italia
Sviluppo del laser,1960,Dispositivo che emette luce attraverso un processo di amplificazione ottica,Theodore Maiman,Stati Uniti
Postmodernismo,1960,Movimento letterario e culturale caratterizzato da un atteggiamento di sfida verso le convenzioni,Varie figure letterarie,Internazionale
Internet,1960,Rete globale di computer che ha rivoluzionato la comunicazione e l'accesso alle informazioni,"Vint Cerf, Bob Kahn",Stati Uniti
Crisi dei missili di Cuba,1962,Crisi dei missili di Cuba,-,-
Guerra sino-indiana,1962,Guerra sino-indiana,-,-
Assassinio di John F Kennedy,1963,Assassinio di John F Kennedy,-,-
Teoria del Caos,1963,Teoria del Caos,Edward Lorenz,Stati Uniti
Primo videoarte di Nam June Paik,1963,Pioniere dell'arte dei media elettronici,Nam June Paik,Corea del Sud
Word Processor,1964,Word Processor,IBM,Stati Uniti
Morti di Winston Churchill,1965,Morti di Winston Churchill,-,-
Trapianto di cuore,1967,Trapianto di cuore,Christiaan Barnard,Sud Africa
Assassinio di Martin Luther King Jr e Robert F Kennedy ,1968,Martin Luther King Jr e Robert F Kennedy furono assassinati durante la Campagna dei Poveri,-,-
Istituzione Repubblica Araba Libica,1969,Muammar Gheddafi rovescio' il Re Idris di Libia in un colpo di stato e istitui' la Repubblica Araba Libica,-,-
Sviluppo del microprocessore,1971,"Cuore di un computer, esegue istruzioni di un programma di computer",Intel,Stati Uniti
Sviluppo del linguaggio di programmazione C,1972,"Linguaggio di programmazione influente, utilizzato ampiamente ancora oggi",Dennis Ritchie,Stati Uniti
GPS,1973,Sistema di navigazione satellitare che fornisce posizione e orario in qualsiasi condizione atmosferica,Dipartimento della Difesa degli Stati Uniti,Stati Uniti
"Lancio della prima stazione spaziale, Skylab",1973,"Lancio della prima stazione spaziale, Skylab",-,-
Sviluppo della macchina fotografica digitale,1975,Dispositivo per catturare immagini in forma digitale,Steven Sasson,Stati Uniti
Primo focolaio del virus Ebola,1976,Primo focolaio del virus Ebola,-,-
Nascita del primo bambino in provetta,1978,Nascita del primo bambino in provetta,-,-
Margaret Thatcher divento' Primo Ministro del Regno Unito,1979,Margaret Thatcher divento' Primo Ministro del Regno Unito,-,-
Editoria elettronica,1980,Tecnologia per la pubblicazione di contenuti attraverso mezzi elettronici,Varie aziende,Internazionale
CD-ROM,1982,Supporto di memorizzazione ottico utilizzato per archiviare dati in formato digitale,"Sony, Philips","Giappone, Paesi Bassi"
Chip RFID,1983,"Tecnologia per l'identificazione automatica di oggetti, animali o persone",Charles Walton,Stati Uniti
Mikhail Gorbaciov Premier dell'Unione Sovietica,1985,Mikhail Gorbaciov divenne Premier dell'Unione Sovietica,-,-
Primo uso dell'impronta del DNA,1985,Primo uso dell'impronta del DNA,-,-
Disastro di Chernobyl,1986,Disastri di Chernobyl,-,-
Caduta del Muro di Berlino,1989,Caduta del Muro di Berlino,-,-
Inizio della Guerra del Golfo,1990,Inizio della Guerra del Golfo,-,-
Telescopio spaziale Hubble,1990,Telescopio spaziale Hubble,NASA,Stati Uniti
Rilascio di Nelson Mandela,1990,"Dopo 27 anni di prigionia, Nelson Mandela fu rilasciato",-,-
Invenzione del World Wide Web,1990,Sir Tim Berners-Lee invento' il World Wide Web (WWW),-,-
Boris Yeltsin Presidente della Federazione Russa,1991,Boris Yeltsin divenne il primo Presidente della Federazione Russa,-,-
Dissoluzione dell'Unione Sovietica ,1991,Dissoluzione dell'Unione Sovietica e conseguente indipendenza di 15 ex repubbliche sovietiche,-,-
Fine della Guerra del Golfo,1991,Fine della Guerra del Golfo dopo il ritiro degli USA e il fallimento della rivolta,-,-
Il primo sito web e' stato messo online e reso disponibile al pubblico,1991,Il primo sito web e' stato messo online e reso disponibile al pubblico,-,-
Linguaggio di programmazione Python,1991,"Linguaggio di programmazione ad alto livello, versatile e ampiamente utilizzato",Guido van Rossum,Paesi Bassi
Sistema Operativo Linux,1991,Sistema Operativo Linux,Linus Torvalds,Finlandia
Il Trattato di Maastricht creo' l'Unione Europea,1992,Il Trattato di Maastricht creo' l'Unione Europea,-,-
Divorzio di velluto tra Repubblica Ceca e Slovacchia,1993,Divorzio di velluto tra Repubblica Ceca e Slovacchia,-,-
HTML,1993,Linguaggio di markup standard per la creazione di pagine web,Tim Berners-Lee,Regno Unito
Apertura del Tunnel della Manica,1994,Apertura del Tunnel della Manica,-,-
Elezione di Nelson Mandela,1994,Fine dell'apartheid in Sudafrica e successiva elezione di Nelson Mandela,-,-
Linguaggio di programmazione JavaScript,1995,Linguaggio di scripting lato client per pagine web interattive,Brendan Eich,Stati Uniti
Istituzione dell'Organizzazione Mondiale del Commercio,1995,Istituzione dell'Organizzazione Mondiale del Commercio,-,-
Morte di Diana,1997,"Diana, Principessa del Galles, mori' in un incidente d'auto a Parigi, Francia",-,-
Trasferimento della sovranita' di Hong Kong dal Regno Unito alla Cina,1997,Trasferimento della sovranita' di Hong Kong dal Regno Unito alla Cina,-,-
Fondazione di Google,1998,Fondazione di Google da parte di Larry Page e Sergey Brin,-,-
Introduzione dell'Euro,1999,Introduzione dell'Euro,-,-
Attacchi terroristici 11 settembre ,2001,"Attacchi terroristici distrussero il World Trade Center a New York e danneggiarono il Pentagono a Washington, DC",-,-
Fondazione di Wikipedia,2001,Fondazione di Wikipedia,-,-
Inizio della Guerra in Iraq ,2003,Inizio della Guerra in Iraq che ha scatenato proteste in tutto il mondo,-,-
Angela Merkel Cancelliere della Germania,2005,Angela Merkel divenne la prima donna Cancelliere della Germania,-,-
Ellen Johnson Sirleaf Presidente della Liberia,2006,"Ellen Johnson Sirleaf e' diventata Presidente della Liberia, la prima donna eletta capo di stato in Africa",-,-
Esecuzione di Saddam Hussein,2006,Esecuzione di Saddam Hussein,-,-
Abolizione della monarchia in Nepal,2008,Abolizione della monarchia in Nepal,-,-
Crollo dei mercati azionari in tutto il mondo,2008,Crollo dei mercati azionari in tutto il mondo,-,-
"Il grattacielo più alto del mondo, il Burj Khalifa (a Dubai), e' stato costruito",2009,"Il grattacielo più alto del mondo, il Burj Khalifa (a Dubai), e' stato costruito",-,-
Il più grande sversamento di petrolio nella storia,2010,Il più grande sversamento di petrolio nella storia degli Stati Uniti si verifico' nel Golfo del Messico,-,-
Fine della Guerra in Iraq,2011,Fine della Guerra in Iraq,-,-
"Uccisione di Osama bin Laden, Muammar Gheddafi e Kim Jong-Il",2011,"Uccisione di Osama bin Laden, Muammar Gheddafi e Kim Jong-Il",-,-
"Morti di Hugo Chávez, Nelson Mandela e Margaret Thatcher",2013,"Morti di Hugo Chávez, Nelson Mandela e Margaret Thatcher",-,-
Gli Stati Uniti e Cuba ripresero le relazioni diplomatiche,2015,Gli Stati Uniti e Cuba ripresero le relazioni diplomatiche,-,-
